Type of Food,Number of Guests,Event Type,Quantity of Food,Storage Conditions,Seasonality,Pricing
Dairy Products,400,Wedding,350,Room Temperature,Summer,High
Meat,350,Social Gathering,450,Refrigerated,All Seasons,High
Fruits,250,Social Gathering,350,Room Temperature,Winter,Moderate
Baked Goods,350,Corporate,450,Refrigerated,All Seasons,Moderate
Dairy Products,290,Social Gathering,374,Room Temperature,Winter,Low
Dairy Products,400,Wedding,350,Room Temperature,All Seasons,High
Dairy Products,280,Corporate,350,Room Temperature,Summer,Moderate
Dairy Products,400,Corporate,500,Room Temperature,All Seasons,Low
Meat,400,Wedding,500,Refrigerated,Winter,High
Baked Goods,320,Birthday,400,Room Temperature,Winter,High
Fruits,310,Corporate,450,Room Temperature,All Seasons,Low
Vegetables,220,Wedding,300,Refrigerated,Summer,Low
Vegetables,367,Social Gathering,420,Refrigerated,Summer,Low
Meat,350,Birthday,450,Refrigerated,Summer,Moderate
Dairy Products,250,Wedding,500,Room Temperature,Winter,High
Dairy Products,472,Corporate,489,Room Temperature,Winter,Low
Baked Goods,250,Wedding,350,Room Temperature,All Seasons,Low
Fruits,220,Social Gathering,450,Refrigerated,Summer,Low
Vegetables,380,Corporate,480,Refrigerated,Summer,Moderate
Meat,220,Corporate,300,Room Temperature,Winter,Moderate
Fruits,400,Wedding,500,Room Temperature,Winter,High
Fruits,380,Birthday,400,Room Temperature,Winter,Moderate
Baked Goods,250,Birthday,350,Room Temperature,Winter,Moderate
Meat,350,Birthday,450,Refrigerated,Winter,Moderate
Fruits,491,Birthday,497,Room Temperature,All Seasons,High
Fruits,380,Birthday,480,Room Temperature,Summer,Moderate
Meat,292,Social Gathering,470,Refrigerated,Summer,High
Vegetables,400,Birthday,500,Refrigerated,Winter,Low
Baked Goods,300,Birthday,450,Room Temperature,Summer,High
Baked Goods,220,Wedding,300,Room Temperature,Winter,Moderate
Dairy Products,250,Corporate,350,Room Temperature,All Seasons,Low
Baked Goods,220,Corporate,300,Room Temperature,Summer,Low
Fruits,230,Corporate,500,Room Temperature,All Seasons,Low
Vegetables,320,Birthday,400,Refrigerated,All Seasons,Moderate
Baked Goods,450,Corporate,500,Room Temperature,Summer,High
Fruits,400,Corporate,500,Refrigerated,All Seasons,High
Fruits,342,Corporate,405,Room Temperature,All Seasons,Moderate
Dairy Products,400,Wedding,350,Room Temperature,Winter,High
Vegetables,220,Corporate,300,Refrigerated,Summer,Moderate
Vegetables,240,Birthday,450,Refrigerated,All Seasons,Moderate
Dairy Products,250,Wedding,350,Room Temperature,All Seasons,High
Dairy Products,300,Birthday,400,Room Temperature,All Seasons,Moderate
Dairy Products,488,Corporate,498,Room Temperature,Summer,High
Baked Goods,350,Birthday,450,Room Temperature,All Seasons,High
Meat,230,Birthday,500,Refrigerated,All Seasons,Moderate
Meat,220,Social Gathering,300,Room Temperature,Winter,Moderate
Dairy Products,280,Wedding,350,Room Temperature,Winter,Moderate
Fruits,400,Wedding,500,Room Temperature,All Seasons,High
Dairy Products,400,Corporate,500,Room Temperature,All Seasons,High
Baked Goods,380,Birthday,400,Room Temperature,All Seasons,Moderate
Fruits,250,Social Gathering,350,Refrigerated,Winter,Moderate
Dairy Products,300,Corporate,400,Room Temperature,Winter,Low
Dairy Products,220,Corporate,300,Room Temperature,Summer,Moderate
Baked Goods,350,Corporate,450,Room Temperature,Winter,Moderate
Vegetables,320,Social Gathering,400,Refrigerated,Summer,Moderate
Baked Goods,320,Corporate,400,Room Temperature,All Seasons,Moderate
Dairy Products,220,Corporate,300,Room Temperature,All Seasons,Moderate
Dairy Products,250,Birthday,350,Room Temperature,All Seasons,Moderate
Dairy Products,280,Corporate,480,Room Temperature,All Seasons,Low
Dairy Products,450,Social Gathering,500,Room Temperature,All Seasons,High
Dairy Products,350,Wedding,450,Room Temperature,All Seasons,High
Vegetables,300,Social Gathering,400,Room Temperature,Winter,High
Dairy Products,300,Social Gathering,400,Room Temperature,Winter,Low
Baked Goods,220,Social Gathering,450,Room Temperature,All Seasons,Moderate
Dairy Products,280,Social Gathering,350,Room Temperature,All Seasons,Moderate
Dairy Products,350,Social Gathering,450,Room Temperature,All Seasons,Moderate
Dairy Products,247,Social Gathering,348,Room Temperature,All Seasons,Moderate
Dairy Products,400,Social Gathering,500,Room Temperature,All Seasons,High
Dairy Products,320,Social Gathering,400,Room Temperature,All Seasons,Moderate
Dairy Products,400,Social Gathering,350,Room Temperature,All Seasons,High
Meat,320,Birthday,400,Refrigerated,Winter,High
Meat,280,Wedding,400,Refrigerated,Winter,Moderate
Meat,320,Corporate,400,Room Temperature,Summer,High
Meat,310,Corporate,450,Refrigerated,All Seasons,Low
Meat,350,Birthday,450,Refrigerated,Summer,Low
Meat,400,Wedding,350,Refrigerated,Summer,High
Meat,350,Birthday,450,Refrigerated,Winter,High
Meat,350,Birthday,450,Refrigerated,Winter,High
Meat,400,Wedding,500,Refrigerated,Winter,High
Fruits,320,Wedding,400,Refrigerated,Summer,High
Fruits,400,Wedding,500,Refrigerated,Winter,High
Baked Goods,220,Social Gathering,300,Room Temperature,Winter,Moderate
Dairy Products,434,Social Gathering,495,Room Temperature,Winter,Low
Dairy Products,300,Social Gathering,400,Room Temperature,Winter,High
Dairy Products,300,Social Gathering,400,Room Temperature,All Seasons,Moderate
Meat,320,Birthday,480,Refrigerated,Winter,High
Meat,350,Corporate,450,Refrigerated,Summer,High
Meat,400,Corporate,500,Refrigerated,Winter,High
Meat,310,Birthday,350,Refrigerated,Winter,High
Meat,380,Wedding,500,Refrigerated,Winter,High
Meat,220,Wedding,300,Refrigerated,Summer,Moderate
Meat,220,Corporate,300,Room Temperature,Summer,Low
Fruits,310,Wedding,350,Refrigerated,All Seasons,High
Meat,434,Birthday,495,Refrigerated,Winter,Low
Fruits,488,Corporate,498,Room Temperature,Summer,High
Fruits,275,Corporate,388,Room Temperature,Winter,Low
Meat,300,Wedding,400,Refrigerated,All Seasons,Moderate
Meat,220,Wedding,300,Room Temperature,Winter,Low
Meat,350,Corporate,450,Refrigerated,Summer,Moderate
Meat,400,Wedding,500,Refrigerated,Summer,High
Meat,220,Corporate,300,Room Temperature,Summer,Moderate
Meat,220,Birthday,300,Refrigerated,Winter,Moderate
Vegetables,350,Birthday,450,Room Temperature,Summer,High
Vegetables,220,Corporate,300,Refrigerated,Winter,Low
Baked Goods,220,Birthday,300,Room Temperature,Summer,Low
Dairy Products,300,Birthday,400,Room Temperature,Summer,Low
Vegetables,280,Corporate,350,Refrigerated,Summer,Moderate
Baked Goods,350,Corporate,450,Room Temperature,Summer,Low
Fruits,280,Corporate,350,Room Temperature,Winter,Moderate
Baked Goods,320,Wedding,400,Room Temperature,Summer,High
Meat,280,Birthday,350,Room Temperature,Summer,Moderate
Meat,207,Corporate,280,Room Temperature,Winter,High
Fruits,275,Corporate,388,Room Temperature,Winter,Low
Vegetables,400,Wedding,350,Refrigerated,Summer,High
Meat,250,Wedding,350,Refrigerated,All Seasons,Moderate
Meat,400,Birthday,500,Refrigerated,All Seasons,High
Fruits,350,Birthday,450,Room Temperature,All Seasons,High
Baked Goods,300,Wedding,400,Room Temperature,All Seasons,Low
Meat,350,Birthday,450,Room Temperature,Winter,Moderate
Baked Goods,250,Birthday,350,Room Temperature,All Seasons,Moderate
Fruits,320,Birthday,400,Room Temperature,All Seasons,High
Baked Goods,292,Wedding,470,Room Temperature,Summer,High
Dairy Products,350,Birthday,450,Refrigerated,All Seasons,Low
Vegetables,320,Wedding,400,Refrigerated,Winter,High
Fruits,472,Birthday,489,Room Temperature,Summer,Low
Meat,320,Corporate,400,Refrigerated,Winter,Low
Fruits,320,Wedding,400,Refrigerated,All Seasons,High
Meat,453,Wedding,484,Refrigerated,Summer,High
Dairy Products,290,Wedding,374,Room Temperature,All Seasons,Low
Dairy Products,350,Birthday,450,Room Temperature,Summer,High
Fruits,280,Social Gathering,350,Room Temperature,Winter,Moderate
Fruits,220,Birthday,300,Room Temperature,All Seasons,Moderate
Dairy Products,280,Corporate,400,Room Temperature,All Seasons,Moderate
Baked Goods,250,Wedding,350,Room Temperature,Summer,High
Fruits,320,Corporate,400,Refrigerated,Summer,Moderate
Meat,350,Wedding,450,Refrigerated,Winter,Moderate
Vegetables,267,Wedding,393,Room Temperature,Summer,Low
Baked Goods,450,Corporate,500,Room Temperature,Summer,High
Meat,220,Wedding,300,Refrigerated,Summer,Moderate
Meat,300,Wedding,400,Refrigerated,Summer,Moderate
Fruits,320,Birthday,400,Room Temperature,Winter,High
Meat,400,Corporate,500,Refrigerated,Summer,High
Meat,220,Social Gathering,300,Room Temperature,Winter,Moderate
Dairy Products,400,Corporate,500,Room Temperature,Winter,High
Fruits,442,Wedding,452,Room Temperature,All Seasons,Low
Baked Goods,247,Birthday,348,Room Temperature,All Seasons,Moderate
Baked Goods,380,Birthday,400,Room Temperature,All Seasons,Moderate
Fruits,320,Wedding,400,Room Temperature,Winter,High
Meat,290,Social Gathering,374,Refrigerated,All Seasons,Low
Fruits,320,Birthday,400,Room Temperature,Summer,High
Vegetables,438,Birthday,493,Refrigerated,Winter,High
Dairy Products,280,Birthday,350,Room Temperature,Summer,Low
Dairy Products,280,Social Gathering,350,Room Temperature,Winter,Low
Dairy Products,280,Wedding,350,Room Temperature,All Seasons,Moderate
Baked Goods,400,Birthday,500,Room Temperature,All Seasons,High
Baked Goods,350,Birthday,450,Room Temperature,All Seasons,High
Dairy Products,350,Wedding,450,Room Temperature,Summer,Moderate
Dairy Products,220,Wedding,300,Room Temperature,All Seasons,Low
Dairy Products,260,Corporate,400,Room Temperature,Winter,Low
Dairy Products,250,Wedding,350,Room Temperature,All Seasons,Moderate
Baked Goods,412,Social Gathering,478,Room Temperature,Winter,Low
Dairy Products,320,Social Gathering,400,Room Temperature,All Seasons,Moderate
Meat,230,Corporate,500,Refrigerated,All Seasons,Moderate
Baked Goods,350,Birthday,450,Room Temperature,Summer,High
Baked Goods,302,Corporate,371,Room Temperature,All Seasons,Low
Baked Goods,488,Corporate,498,Room Temperature,Summer,High
Vegetables,350,Corporate,450,Room Temperature,Summer,High
Fruits,310,Corporate,450,Room Temperature,All Seasons,Low
Fruits,280,Birthday,350,Refrigerated,Summer,Moderate
Meat,250,Wedding,350,Refrigerated,Winter,Moderate
Meat,230,Wedding,500,Refrigerated,All Seasons,Low
Meat,250,Birthday,350,Refrigerated,Winter,Moderate
Baked Goods,350,Social Gathering,450,Room Temperature,Winter,Moderate
Dairy Products,280,Corporate,350,Room Temperature,All Seasons,Moderate
Baked Goods,280,Social Gathering,350,Room Temperature,All Seasons,Moderate
Vegetables,208,Social Gathering,282,Room Temperature,Summer,Moderate
Dairy Products,250,Wedding,350,Room Temperature,All Seasons,Moderate
Meat,250,Birthday,350,Room Temperature,Summer,Moderate
Fruits,260,Wedding,400,Room Temperature,All Seasons,Low
Meat,300,Social Gathering,400,Room Temperature,Winter,Moderate
Dairy Products,400,Wedding,400,Room Temperature,Summer,High
Baked Goods,400,Birthday,500,Room Temperature,Winter,High
Meat,350,Social Gathering,450,Refrigerated,Winter,Moderate
Baked Goods,400,Social Gathering,500,Room Temperature,Winter,High
Baked Goods,320,Corporate,400,Room Temperature,Summer,Moderate
Baked Goods,400,Corporate,500,Room Temperature,Winter,High
Dairy Products,270,Wedding,400,Room Temperature,Winter,High
Dairy Products,220,Wedding,300,Room Temperature,Winter,Moderate
Dairy Products,280,Birthday,350,Room Temperature,Summer,Moderate
Baked Goods,400,Wedding,500,Room Temperature,All Seasons,High
Vegetables,220,Corporate,300,Refrigerated,All Seasons,Moderate
Baked Goods,247,Corporate,348,Room Temperature,Summer,Moderate
Fruits,320,Social Gathering,400,Refrigerated,Winter,High
Dairy Products,320,Birthday,400,Room Temperature,Summer,High
Fruits,250,Birthday,500,Refrigerated,Winter,High
Dairy Products,320,Corporate,400,Room Temperature,Winter,High
Meat,220,Birthday,300,Refrigerated,Summer,Moderate
Dairy Products,400,Corporate,500,Room Temperature,Summer,High
Baked Goods,350,Birthday,450,Room Temperature,All Seasons,High
Baked Goods,280,Social Gathering,350,Room Temperature,All Seasons,Low
Dairy Products,220,Corporate,300,Room Temperature,All Seasons,Moderate
Dairy Products,320,Corporate,400,Room Temperature,All Seasons,Moderate
Baked Goods,247,Corporate,348,Room Temperature,All Seasons,Moderate
Dairy Products,280,Corporate,350,Room Temperature,Winter,Moderate
Baked Goods,247,Social Gathering,348,Room Temperature,Summer,Moderate
Baked Goods,230,Wedding,500,Room Temperature,All Seasons,Moderate
Baked Goods,400,Social Gathering,500,Room Temperature,Winter,High
Baked Goods,220,Social Gathering,450,Room Temperature,All Seasons,Moderate
Dairy Products,350,Social Gathering,450,Room Temperature,All Seasons,High
Dairy Products,280,Social Gathering,350,Room Temperature,All Seasons,Moderate
Dairy Products,250,Social Gathering,350,Room Temperature,Summer,Moderate
Vegetables,350,Corporate,450,Refrigerated,All Seasons,Moderate
Baked Goods,350,Social Gathering,450,Room Temperature,Winter,Moderate
Vegetables,397,Social Gathering,482,Refrigerated,All Seasons,Moderate
Baked Goods,400,Social Gathering,500,Room Temperature,All Seasons,High
Dairy Products,261,Birthday,350,Room Temperature,All Seasons,Moderate
Baked Goods,290,Birthday,374,Room Temperature,Summer,Low
Vegetables,300,Corporate,400,Refrigerated,Summer,High
Fruits,350,Corporate,450,Room Temperature,Winter,High
Meat,350,Corporate,450,Refrigerated,Winter,Moderate
Dairy Products,320,Wedding,400,Room Temperature,All Seasons,High
Meat,400,Wedding,500,Refrigerated,All Seasons,High
Fruits,400,Social Gathering,500,Room Temperature,Summer,High
Meat,380,Social Gathering,480,Room Temperature,Winter,Moderate
Meat,400,Social Gathering,500,Room Temperature,Summer,Low
Meat,350,Social Gathering,450,Room Temperature,Winter,High
Dairy Products,350,Corporate,450,Room Temperature,Winter,High
Fruits,310,Corporate,350,Room Temperature,All Seasons,High
Baked Goods,450,Birthday,500,Room Temperature,All Seasons,High
Baked Goods,247,Corporate,348,Room Temperature,Winter,Moderate
Meat,400,Corporate,500,Refrigerated,All Seasons,High
Baked Goods,220,Wedding,300,Room Temperature,Summer,High
Fruits,250,Social Gathering,350,Refrigerated,Winter,High
Vegetables,300,Social Gathering,400,Room Temperature,Summer,Low
Fruits,342,Social Gathering,405,Room Temperature,Winter,Moderate
Dairy Products,280,Birthday,350,Room Temperature,All Seasons,Low
Baked Goods,350,Wedding,450,Room Temperature,All Seasons,High
Baked Goods,250,Social Gathering,350,Room Temperature,Summer,Low
Dairy Products,220,Corporate,300,Room Temperature,Winter,Moderate
Baked Goods,320,Corporate,400,Room Temperature,All Seasons,Moderate
Vegetables,250,Social Gathering,350,Refrigerated,Summer,Moderate
Dairy Products,350,Corporate,450,Room Temperature,All Seasons,High
Dairy Products,220,Corporate,300,Room Temperature,All Seasons,Moderate
Dairy Products,400,Corporate,500,Room Temperature,All Seasons,High
Dairy Products,439,Social Gathering,459,Room Temperature,All Seasons,Low
Dairy Products,300,Wedding,400,Room Temperature,Winter,Moderate
Dairy Products,220,Corporate,300,Room Temperature,All Seasons,Moderate
Dairy Products,280,Wedding,350,Room Temperature,All Seasons,Moderate
Baked Goods,220,Social Gathering,300,Room Temperature,Winter,Low
Dairy Products,300,Social Gathering,400,Room Temperature,Summer,High
Fruits,230,Social Gathering,500,Room Temperature,All Seasons,Low
Dairy Products,350,Birthday,450,Room Temperature,Summer,Moderate
Dairy Products,400,Social Gathering,450,Room Temperature,All Seasons,Moderate
Fruits,220,Social Gathering,300,Room Temperature,All Seasons,Moderate
Baked Goods,300,Social Gathering,400,Room Temperature,Winter,Moderate
Fruits,280,Social Gathering,350,Room Temperature,All Seasons,Moderate
Fruits,320,Birthday,480,Refrigerated,Summer,High
Meat,220,Wedding,300,Refrigerated,Summer,Low
Meat,434,Wedding,495,Refrigerated,Winter,Low
Vegetables,472,Corporate,489,Refrigerated,Winter,Low
Meat,250,Corporate,350,Room Temperature,Winter,High
Fruits,220,Wedding,300,Refrigerated,Winter,Moderate
Meat,320,Corporate,400,Refrigerated,Summer,High
Vegetables,350,Wedding,450,Refrigerated,Summer,High
Meat,400,Corporate,400,Refrigerated,Summer,High
Fruits,320,Corporate,480,Refrigerated,All Seasons,High
Vegetables,280,Corporate,350,Refrigerated,Winter,Moderate
Fruits,292,Birthday,470,Room Temperature,Winter,High
Meat,208,Wedding,282,Room Temperature,Summer,Moderate
Fruits,250,Corporate,350,Refrigerated,Winter,Moderate
Meat,320,Birthday,400,Room Temperature,Summer,High
Meat,320,Corporate,400,Refrigerated,Winter,Moderate
Vegetables,220,Wedding,300,Refrigerated,Summer,Moderate
Baked Goods,302,Corporate,371,Room Temperature,Winter,Low
Vegetables,250,Social Gathering,350,Refrigerated,Summer,Moderate
Baked Goods,267,Wedding,393,Room Temperature,Winter,Low
Fruits,453,Wedding,484,Refrigerated,All Seasons,High
Vegetables,400,Social Gathering,500,Room Temperature,Summer,High
Meat,300,Wedding,400,Refrigerated,Summer,Moderate
Baked Goods,220,Wedding,300,Room Temperature,Summer,Moderate
Baked Goods,300,Birthday,480,Room Temperature,All Seasons,High
Fruits,280,Social Gathering,350,Refrigerated,All Seasons,Low
Dairy Products,290,Corporate,374,Room Temperature,Winter,Low
Meat,438,Corporate,493,Refrigerated,Winter,Moderate
Baked Goods,350,Birthday,450,Room Temperature,Winter,High
Vegetables,300,Corporate,450,Refrigerated,All Seasons,High
Baked Goods,300,Corporate,400,Room Temperature,Summer,Moderate
Dairy Products,300,Wedding,400,Room Temperature,Winter,High
Fruits,267,Social Gathering,393,Room Temperature,Winter,Low
Fruits,300,Birthday,400,Room Temperature,Summer,Moderate
Meat,342,Social Gathering,405,Refrigerated,All Seasons,Moderate
